Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,7,10074,730614,Contra Costa,Contra Costa County Office of Education,Golden Gate Community,County Office of Education (COE),County Community,County Community School,,No ,,,N,6,12,54,37,68.50%,42,77.80%,52,36,69.20%,41,78.80%,Y
2016-2017,7,10074,731380,Contra Costa,Contra Costa County Office of Education,Clayton Valley Charter High,County Office of Education (COE),High Schools (Public),Traditional,,Yes,1400,Directly funded,Y,9,12,2197,272,12.40%,394,17.90%,2130,268,12.60%,388,18.20%,Y
2016-2017,7,10074,6077168,Contra Costa,Contra Costa County Office of Education,Floyd I. Marchus,County Office of Education (COE),Special Education Schools (Public),Special Education School,,No ,,,N,K,12,109,42,38.50%,43,39.40%,94,41,43.60%,42,44.70%,Y
2016-2017,7,61630,1,Contra Costa,Acalanes Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,19,0,0.00%,0,0.00%,10,0,0.00%,0,0.00%,Y
2016-2017,7,61630,107524,Contra Costa,Acalanes Union High,Acalanes Center for Independent Study,High School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,9,12,35,0,0.00%,0,0.00%,31,0,0.00%,0,0.00%,Y
2016-2017,7,61630,730283,Contra Costa,Acalanes Union High,Acalanes High,High School District,High Schools (Public),Traditional,,No ,,,N,9,12,1360,15,1.10%,27,2.00%,1295,13,1.00%,25,1.90%,Y
2016-2017,7,61630,731125,Contra Costa,Acalanes Union High,Campolindo High,High School District,High Schools (Public),Traditional,,No ,,,N,9,12,1309,8,0.60%,19,1.50%,1283,8,0.60%,19,1.50%,Y
2016-2017,7,61630,733725,Contra Costa,Acalanes Union High,Las Lomas High,High School District,High Schools (Public),Traditional,,No ,,,N,9,12,1530,84,5.50%,119,7.80%,1485,78,5.30%,112,7.50%,Y
2016-2017,7,61630,734244,Contra Costa,Acalanes Union High,Miramonte High,High School District,High Schools (Public),Traditional,,No ,,,N,9,12,1277,10,0.80%,19,1.50%,1248,9,0.70%,16,1.30%,Y
2016-2017,7,61648,1,Contra Costa,Antioch Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,143,59,41.30%,63,44.10%,128,56,43.80%,60,46.90%,Y
2016-2017,7,61648,100461,Contra Costa,Antioch Unified,Lone Tree Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,777,469,60.40%,537,69.10%,777,469,60.40%,537,69.10%,Y
2016-2017,7,61648,100479,Contra Costa,Antioch Unified,Dallas Ranch Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,1050,517,49.20%,597,56.90%,1050,517,49.20%,597,56.90%,Y
2016-2017,7,61648,106583,Contra Costa,Antioch Unified,Carmen Dragon Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,496,303,61.10%,338,68.10%,475,294,61.90%,328,69.10%,Y
2016-2017,7,61648,110494,Contra Costa,Antioch Unified,Bidwell Continuation High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,10,12,173,104,60.10%,113,65.30%,140,83,59.30%,91,65.00%,Y
2016-2017,7,61648,113761,Contra Costa,Antioch Unified,Orchard Park,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,789,407,51.60%,504,63.90%,789,407,51.60%,504,63.90%,Y
2016-2017,7,61648,115063,Contra Costa,Antioch Unified,Antioch Charter Academy II,Unified School District,Elementary Schools (Public),Traditional,,Yes,909,Directly funded,Y,K,8,207,56,27.10%,79,38.20%,203,55,27.10%,78,38.40%,Y
2016-2017,7,61648,117218,Contra Costa,Antioch Unified,Dozier-Libbey Medical High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,9,12,712,310,43.50%,381,53.50%,695,304,43.70%,374,53.80%,Y
2016-2017,7,61648,730101,Contra Costa,Antioch Unified,Live Oak High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,10,12,158,104,65.80%,111,70.30%,127,82,64.60%,87,68.50%,Y
2016-2017,7,61648,730259,Contra Costa,Antioch Unified,Prospects High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,K,12,348,156,44.80%,166,47.70%,258,109,42.20%,117,45.30%,Y
2016-2017,7,61648,730465,Contra Costa,Antioch Unified,Deer Valley High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,2156,984,45.60%,1183,54.90%,2066,932,45.10%,1120,54.20%,Y
2016-2017,7,61648,730481,Contra Costa,Antioch Unified,Bridges,Unified School District,District Community Day Schools,Community Day School,,No ,,,N,9,12,8,6,75.00%,6,75.00%,8,6,75.00%,6,75.00%,Y
2016-2017,7,61648,730861,Contra Costa,Antioch Unified,Antioch High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1947,1183,60.80%,1370,70.40%,1891,1148,60.70%,1328,70.20%,Y
2016-2017,7,61648,6003578,Contra Costa,Antioch Unified,Belshaw Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,571,367,64.30%,421,73.70%,571,367,64.30%,421,73.70%,Y
2016-2017,7,61648,6003594,Contra Costa,Antioch Unified,Fremont Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,489,432,88.30%,455,93.00%,489,432,88.30%,455,93.00%,Y
2016-2017,7,61648,6003602,Contra Costa,Antioch Unified,Kimball Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,525,393,74.90%,457,87.00%,503,377,75.00%,440,87.50%,Y
2016-2017,7,61648,6003610,Contra Costa,Antioch Unified,Marsh Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,580,467,80.50%,523,90.20%,580,467,80.50%,523,90.20%,Y
2016-2017,7,61648,6003628,Contra Costa,Antioch Unified,Sutter Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,633,324,51.20%,384,60.70%,606,311,51.30%,370,61.10%,Y
2016-2017,7,61648,6003636,Contra Costa,Antioch Unified,Turner Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,552,444,80.40%,481,87.10%,532,434,81.60%,467,87.80%,Y
2016-2017,7,61648,6057178,Contra Costa,Antioch Unified,Antioch Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,742,591,79.60%,651,87.70%,742,591,79.60%,651,87.70%,Y
2016-2017,7,61648,6061154,Contra Costa,Antioch Unified,Park Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,1069,652,61.00%,789,73.80%,1069,652,61.00%,789,73.80%,Y
2016-2017,7,61648,6084941,Contra Costa,Antioch Unified,Mission Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,602,430,71.40%,491,81.60%,602,430,71.40%,491,81.60%,Y
2016-2017,7,61648,6108989,Contra Costa,Antioch Unified,Muir (John) Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,531,272,51.20%,315,59.30%,531,272,51.20%,315,59.30%,Y
2016-2017,7,61648,6110514,Contra Costa,Antioch Unified,Jack London Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,490,309,63.10%,354,72.20%,490,309,63.10%,354,72.20%,Y
2016-2017,7,61648,6113104,Contra Costa,Antioch Unified,Black Diamond Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,7,8,376,240,63.80%,273,72.60%,376,240,63.80%,273,72.60%,Y
2016-2017,7,61648,6115380,Contra Costa,Antioch Unified,Grant Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,502,283,56.40%,333,66.30%,502,283,56.40%,333,66.30%,Y
2016-2017,7,61648,6115703,Contra Costa,Antioch Unified,Antioch Charter Academy,Unified School District,Elementary Schools (Public),Traditional,,Yes,143,Directly funded,Y,K,8,196,25,12.80%,35,17.90%,193,24,12.40%,34,17.60%,Y
2016-2017,7,61648,6117501,Contra Costa,Antioch Unified,Diablo Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,504,264,52.40%,313,62.10%,504,264,52.40%,313,62.10%,Y
2016-2017,7,61655,0,Contra Costa,Brentwood Union Elementary,District Office,Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,K,8,16,4,25.00%,4,25.00%,16,4,25.00%,4,25.00%,Y
2016-2017,7,61655,1,Contra Costa,Brentwood Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,10,0,0.00%,0,0.00%,10,0,0.00%,0,0.00%,Y
2016-2017,7,61655,102376,Contra Costa,Brentwood Union Elementary,Pioneer Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,894,140,15.70%,184,20.60%,883,138,15.60%,182,20.60%,Y
2016-2017,7,61655,108019,Contra Costa,Brentwood Union Elementary,Marsh Creek Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,681,160,23.50%,203,29.80%,670,159,23.70%,201,30.00%,Y
2016-2017,7,61655,110528,Contra Costa,Brentwood Union Elementary,Adams (J. Douglas) Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,1163,191,16.40%,242,20.80%,1163,191,16.40%,242,20.80%,Y
2016-2017,7,61655,127464,Contra Costa,Brentwood Union Elementary,Mary Casey Black Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,628,210,33.40%,268,42.70%,615,206,33.50%,263,42.80%,Y
2016-2017,7,61655,6003644,Contra Costa,Brentwood Union Elementary,Brentwood Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,669,164,24.50%,216,32.30%,658,162,24.60%,214,32.50%,Y
2016-2017,7,61655,6003651,Contra Costa,Brentwood Union Elementary,Edna Hill Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,988,291,29.50%,353,35.70%,988,291,29.50%,353,35.70%,Y
2016-2017,7,61655,6070981,Contra Costa,Brentwood Union Elementary,Garin Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,603,158,26.20%,196,32.50%,591,153,25.90%,190,32.10%,Y
2016-2017,7,61655,6109730,Contra Costa,Brentwood Union Elementary,Ron Nunn Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,553,76,13.70%,101,18.30%,542,74,13.70%,99,18.30%,Y
2016-2017,7,61655,6112718,Contra Costa,Brentwood Union Elementary,William B. Bristow Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,1172,193,16.50%,243,20.70%,1172,193,16.50%,243,20.70%,Y
2016-2017,7,61655,6117410,Contra Costa,Brentwood Union Elementary,Loma Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,666,81,12.20%,111,16.70%,651,78,12.00%,106,16.30%,Y
2016-2017,7,61655,6119754,Contra Costa,Brentwood Union Elementary,R. Paul Krey Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,874,122,14.00%,148,16.90%,858,119,13.90%,145,16.90%,Y
2016-2017,7,61663,130930,Contra Costa,Byron Union Elementary,Vista Oaks Charter,Elementary School District,K-12 Schools (Public),Traditional,,Yes,1684,Directly funded,Y,K,12,634,166,26.20%,249,39.30%,603,151,25.00%,230,38.10%,Y
2016-2017,7,61663,6003669,Contra Costa,Byron Union Elementary,Excelsior Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,590,120,20.30%,178,30.20%,589,120,20.40%,178,30.20%,Y
2016-2017,7,61663,6101943,Contra Costa,Byron Union Elementary,Discovery Bay Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,489,138,28.20%,184,37.60%,473,135,28.50%,181,38.30%,Y
2016-2017,7,61663,6119838,Contra Costa,Byron Union Elementary,Timber Point Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,521,71,13.60%,100,19.20%,521,71,13.60%,100,19.20%,Y
2016-2017,7,61671,6003677,Contra Costa,Canyon Elementary,Canyon Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,No ,,,N,K,8,72,2,2.80%,3,4.20%,72,2,2.80%,3,4.20%,Y
2016-2017,7,61697,1,Contra Costa,John Swett Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,4,2,50.00%,2,50.00%,4,2,50.00%,2,50.00%,Y
2016-2017,7,61697,737023,Contra Costa,John Swett Unified,John Swett High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,558,245,43.90%,307,55.00%,536,238,44.40%,299,55.80%,Y
2016-2017,7,61697,737619,Contra Costa,John Swett Unified,Willow High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,K,12,55,32,58.20%,38,69.10%,50,31,62.00%,37,74.00%,Y
2016-2017,7,61697,6003685,Contra Costa,John Swett Unified,Carquinez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,351,204,58.10%,254,72.40%,351,204,58.10%,254,72.40%,Y
2016-2017,7,61697,6003701,Contra Costa,John Swett Unified,Rodeo Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,746,481,64.50%,569,76.30%,738,475,64.40%,563,76.30%,Y
2016-2017,7,61705,133769,Contra Costa,Knightsen Elementary,Old River Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,179,48,26.80%,54,30.20%,171,45,26.30%,51,29.80%,Y
2016-2017,7,61705,6003719,Contra Costa,Knightsen Elementary,Knightsen Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,No ,,,N,K,8,406,125,30.80%,149,36.70%,406,125,30.80%,149,36.70%,Y
2016-2017,7,61713,1,Contra Costa,Lafayette Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,6,0,0.00%,0,0.00%,6,0,0.00%,0,0.00%,Y
2016-2017,7,61713,6003727,Contra Costa,Lafayette Elementary,Burton Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,810,9,1.10%,13,1.60%,794,9,1.10%,13,1.60%,Y
2016-2017,7,61713,6003743,Contra Costa,Lafayette Elementary,Happy Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,545,4,0.70%,5,0.90%,531,4,0.80%,5,0.90%,Y
2016-2017,7,61713,6003750,Contra Costa,Lafayette Elementary,Lafayette Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,538,15,2.80%,20,3.70%,538,15,2.80%,20,3.70%,Y
2016-2017,7,61713,6003768,Contra Costa,Lafayette Elementary,M. H. Stanley Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,1235,26,2.10%,38,3.10%,1235,26,2.10%,38,3.10%,Y
2016-2017,7,61713,6003792,Contra Costa,Lafayette Elementary,Springhill Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,481,5,1.00%,7,1.50%,481,5,1.00%,7,1.50%,Y
2016-2017,7,61721,1,Contra Costa,Liberty Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,15,1,6.70%,1,6.70%,8,1,12.50%,1,12.50%,Y
2016-2017,7,61721,107797,Contra Costa,Liberty Union High,Heritage High,High School District,High Schools (Public),Traditional,,No ,,,N,9,12,2499,329,13.20%,417,16.70%,2457,322,13.10%,410,16.70%,Y
2016-2017,7,61721,730457,Contra Costa,Liberty Union High,Freedom High,High School District,High Schools (Public),Traditional,,No ,,,N,9,12,2643,782,29.60%,944,35.70%,2581,755,29.30%,914,35.40%,Y
2016-2017,7,61721,730572,Contra Costa,Liberty Union High,Independence High,High School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,9,12,295,58,19.70%,59,20.00%,229,48,21.00%,49,21.40%,Y
2016-2017,7,61721,733980,Contra Costa,Liberty Union High,Liberty High,High School District,High Schools (Public),Traditional,,No ,,,N,9,12,2579,670,26.00%,796,30.90%,2455,628,25.60%,748,30.50%,Y
2016-2017,7,61721,733998,Contra Costa,Liberty Union High,La Paloma High (Continuation),High School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,168,84,50.00%,93,55.40%,130,65,50.00%,70,53.80%,Y
2016-2017,7,61739,1,Contra Costa,Martinez Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,11,3,27.30%,3,27.30%,10,3,30.00%,3,30.00%,Y
2016-2017,7,61739,730440,Contra Costa,Martinez Unified,Vicente Martinez High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,63,19,30.20%,21,33.30%,57,18,31.60%,20,35.10%,Y
2016-2017,7,61739,730473,Contra Costa,Martinez Unified,Briones (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,K,12,42,11,26.20%,12,28.60%,38,10,26.30%,11,28.90%,Y
2016-2017,7,61739,730549,Contra Costa,Martinez Unified,Alhambra Senior High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1179,170,14.40%,207,17.60%,1137,166,14.60%,201,17.70%,Y
2016-2017,7,61739,6003826,Contra Costa,Martinez Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,411,123,29.90%,141,34.30%,396,120,30.30%,138,34.80%,Y
2016-2017,7,61739,6003834,Contra Costa,Martinez Unified,John Swett Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,528,49,9.30%,62,11.70%,517,48,9.30%,60,11.60%,Y
2016-2017,7,61739,6003842,Contra Costa,Martinez Unified,Las Juntas Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,374,162,43.30%,176,47.10%,366,160,43.70%,174,47.50%,Y
2016-2017,7,61739,6003875,Contra Costa,Martinez Unified,Morello Park Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,522,57,10.90%,65,12.50%,522,57,10.90%,65,12.50%,Y
2016-2017,7,61739,6057186,Contra Costa,Martinez Unified,Martinez Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,1013,225,22.20%,263,26.00%,1013,225,22.20%,263,26.00%,Y
2016-2017,7,61747,1,Contra Costa,Moraga Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,3,0,0.00%,0,0.00%,3,0,0.00%,0,0.00%,Y
2016-2017,7,61747,6003909,Contra Costa,Moraga Elementary,Camino Pablo Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,387,3,0.80%,3,0.80%,377,3,0.80%,3,0.80%,Y
2016-2017,7,61747,6003917,Contra Costa,Moraga Elementary,Donald L. Rheem Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,414,9,2.20%,9,2.20%,414,9,2.20%,9,2.20%,Y
2016-2017,7,61747,6003925,Contra Costa,Moraga Elementary,Joaquin Moraga Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,696,10,1.40%,10,1.40%,696,10,1.40%,10,1.40%,Y
2016-2017,7,61747,6003933,Contra Costa,Moraga Elementary,Los Perales Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,398,5,1.30%,5,1.30%,390,5,1.30%,5,1.30%,Y
2016-2017,7,61754,0,Contra Costa,Mt. Diablo Unified,District Office,Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,K,Adult,63,23,36.50%,24,38.10%,62,23,37.10%,24,38.70%,Y
2016-2017,7,61754,1,Contra Costa,Mt. Diablo Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,141,29,20.60%,30,21.30%,122,25,20.50%,26,21.30%,Y
2016-2017,7,61754,106088,Contra Costa,Mt. Diablo Unified,Delta View Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,659,237,36.00%,306,46.40%,636,233,36.60%,299,47.00%,Y
2016-2017,7,61754,730044,Contra Costa,Mt. Diablo Unified,Northgate High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1558,95,6.10%,130,8.30%,1510,94,6.20%,128,8.50%,Y
2016-2017,7,61754,730317,Contra Costa,Mt. Diablo Unified,Horizons School: Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,K,12,158,19,12.00%,21,13.30%,147,18,12.20%,20,13.60%,Y
2016-2017,7,61754,730333,Contra Costa,Mt. Diablo Unified,Gateway High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,28,17,60.70%,20,71.40%,26,16,61.50%,18,69.20%,Y
2016-2017,7,61754,730358,Contra Costa,Mt. Diablo Unified,Prospect High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,46,26,56.50%,27,58.70%,42,23,54.80%,23,54.80%,Y
2016-2017,7,61754,730416,Contra Costa,Mt. Diablo Unified,Crossroads High (Alternative),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,37,30,81.10%,30,81.10%,22,18,81.80%,18,81.80%,Y
2016-2017,7,61754,730424,Contra Costa,Mt. Diablo Unified,Summit High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,106,45,42.50%,48,45.30%,86,30,34.90%,33,38.40%,Y
2016-2017,7,61754,730655,Contra Costa,Mt. Diablo Unified,Diablo Community Day,Unified School District,District Community Day Schools,Community Day School,,No ,,,N,7,12,18,14,77.80%,15,83.30%,18,14,77.80%,15,83.30%,Y
2016-2017,7,61754,731646,Contra Costa,Mt. Diablo Unified,College Park High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,2054,319,15.50%,418,20.40%,1993,312,15.70%,407,20.40%,Y
2016-2017,7,61754,731836,Contra Costa,Mt. Diablo Unified,Concord High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1489,569,38.20%,701,47.10%,1441,547,38.00%,676,46.90%,Y
2016-2017,7,61754,734566,Contra Costa,Mt. Diablo Unified,Mt. Diablo High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1344,851,63.30%,997,74.20%,1291,818,63.40%,961,74.40%,Y
2016-2017,7,61754,734764,Contra Costa,Mt. Diablo Unified,Olympic Continuation High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,288,175,60.80%,187,64.90%,205,129,62.90%,139,67.80%,Y
2016-2017,7,61754,737809,Contra Costa,Mt. Diablo Unified,Ygnacio Valley High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1246,767,61.60%,908,72.90%,1205,744,61.70%,883,73.30%,Y
2016-2017,7,61754,6003958,Contra Costa,Mt. Diablo Unified,Ayers Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,447,95,21.30%,109,24.40%,437,93,21.30%,107,24.50%,Y
2016-2017,7,61754,6003966,Contra Costa,Mt. Diablo Unified,Bancroft Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,598,42,7.00%,63,10.50%,598,42,7.00%,63,10.50%,Y
2016-2017,7,61754,6003974,Contra Costa,Mt. Diablo Unified,Bel Air Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,560,482,86.10%,532,95.00%,551,476,86.40%,524,95.10%,Y
2016-2017,7,61754,6003982,Contra Costa,Mt. Diablo Unified,Cambridge Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,660,587,88.90%,633,95.90%,654,582,89.00%,628,96.00%,Y
2016-2017,7,61754,6004030,Contra Costa,Mt. Diablo Unified,El Dorado Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,901,479,53.20%,575,63.80%,901,479,53.20%,575,63.80%,Y
2016-2017,7,61754,6004048,Contra Costa,Mt. Diablo Unified,El Monte Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,443,236,53.30%,288,65.00%,434,233,53.70%,285,65.70%,Y
2016-2017,7,61754,6004055,Contra Costa,Mt. Diablo Unified,Fair Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,331,222,67.10%,269,81.30%,324,219,67.60%,266,82.10%,Y
2016-2017,7,61754,6004063,Contra Costa,Mt. Diablo Unified,Foothill Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,990,64,6.50%,88,8.90%,990,64,6.50%,88,8.90%,Y
2016-2017,7,61754,6004097,Contra Costa,Mt. Diablo Unified,Hidden Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,872,221,25.30%,270,31.00%,855,217,25.40%,266,31.10%,Y
2016-2017,7,61754,6004105,Contra Costa,Mt. Diablo Unified,Highlands Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,597,69,11.60%,95,15.90%,583,69,11.80%,95,16.30%,Y
2016-2017,7,61754,6004154,Contra Costa,Mt. Diablo Unified,Meadow Homes Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,848,695,82.00%,783,92.30%,840,690,82.10%,778,92.60%,Y
2016-2017,7,61754,6004162,Contra Costa,Mt. Diablo Unified,Monte Gardens Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,525,85,16.20%,106,20.20%,525,85,16.20%,106,20.20%,Y
2016-2017,7,61754,6004170,Contra Costa,Mt. Diablo Unified,Mountain View Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,440,161,36.60%,193,43.90%,439,161,36.70%,192,43.70%,Y
2016-2017,7,61754,6004188,Contra Costa,Mt. Diablo Unified,Mt. Diablo Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,821,54,6.60%,62,7.60%,821,54,6.60%,62,7.60%,Y
2016-2017,7,61754,6004196,Contra Costa,Mt. Diablo Unified,Oak Grove Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,692,557,80.50%,628,90.80%,692,557,80.50%,628,90.80%,Y
2016-2017,7,61754,6004220,Contra Costa,Mt. Diablo Unified,Pine Hollow Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,597,154,25.80%,203,34.00%,597,154,25.80%,203,34.00%,Y
2016-2017,7,61754,6004238,Contra Costa,Mt. Diablo Unified,Sunrise (Special Education),Unified School District,Special Education Schools (Public),Special Education School,,No ,,,N,K,5,39,19,48.70%,25,64.10%,39,19,48.70%,25,64.10%,Y
2016-2017,7,61754,6004246,Contra Costa,Mt. Diablo Unified,Pleasant Hill Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,657,108,16.40%,129,19.60%,648,108,16.70%,129,19.90%,Y
