CountyDesc,ProgramGroupYear,FnsReportDate,order,ProgramCode,Name,CDSCode,SiteName,MealTypeCode,MlsServedFree,MlsServedRedc,MlsServedPaid,MlsServedTotal
SAN MATEO,2017,Jul 2016,1,NSLP,SAN MATEO CO JUV HALL SCHS,,GLENWOOD BOYS RANCH,NSLP_BREAKFAST_SEVERENEED,659,,,659
SAN MATEO,2017,Jul 2016,1,NSLP,SAN MATEO CO JUV HALL SCHS,,GLENWOOD BOYS RANCH,NSLP_LUNCH,672,,,672
SAN MATEO,2017,Jul 2016,1,NSLP,SAN MATEO CO JUV HALL SCHS,,HILLCREST JUVENILE HALL,NSLP_BREAKFAST_SEVERENEED,"1,921",,,"1,921"
SAN MATEO,2017,Jul 2016,1,NSLP,SAN MATEO CO JUV HALL SCHS,,HILLCREST JUVENILE HALL,NSLP_LUNCH,"2,124",,,"2,124"
SAN MATEO,2017,Jul 2016,1,NSLP,SAN MATEO CO JUV HALL SCHS,,MARGARET KEMP GIRLS CAMP,NSLP_BREAKFAST_SEVERENEED,133,,,133
SAN MATEO,2017,Jul 2016,1,NSLP,SAN MATEO CO JUV HALL SCHS,,MARGARET KEMP GIRLS CAMP,NSLP_LUNCH,130,,,130
SAN MATEO,2017,Jul 2016,1,NSLP,San Mateo County Office of Education,,PALOS VERDES SPECIAL ED,NSLP_LUNCH,316,96,0,412
SAN MATEO,2017,Jul 2016,1,NSLP,San Mateo County Office of Education,,TOWER ROAD,NSLP_LUNCH,31,8,0,39
SAN MATEO,2017,Jul 2016,1,NSLP,San Mateo Union High School District,41690474130472,Burlingame High                                                 ,NSLP_BREAKFAST,280,31,39,350
SAN MATEO,2016,Jul 2016,1,SSFO,San Mateo-Foster City School District,41690396044952,COLLEGE PARK ELEMENTARY,SSFO_LUNCH,"1,795",0,0,"1,795"
SAN MATEO,2016,Jul 2016,1,SSFO,San Mateo-Foster City School District,41690396044804,LEAD Elementary                                                 ,SSFO_LUNCH,"2,889",0,0,"2,889"
SAN MATEO,2016,Jul 2016,1,SSFO,San Mateo-Foster City School District,41690396045017,SUNNYBRAE ELEMENTARY,SSFO_BREAKFAST_SEVERENEED,"2,605",0,0,"2,605"
SAN MATEO,2016,Jul 2016,1,SSFO,San Mateo-Foster City School District,41690396045017,SUNNYBRAE ELEMENTARY,SSFO_LUNCH,"1,424",0,0,"1,424"
SAN MATEO,2017,Jul 2016,1,NSLP,Sequoia Union High School District,41690624130993,CARLMONT HIGH,NSLP_LUNCH,724,111,344,"1,179"
SAN MATEO,2017,Jul 2016,1,NSLP,Sequoia Union High School District,41690620126722,East Palo Alto Academy,NSLP_LUNCH,820,152,47,"1,019"
SAN MATEO,2017,Jul 2016,1,NSLP,Sequoia Union High School District,41690624133716,Menlo-Atherton High                                             ,NSLP_LUNCH,"4,556",504,370,"5,430"
SAN MATEO,2017,Jul 2016,1,NSLP,Sequoia Union High School District,41690624136693,Sequoia High                                                    ,NSLP_LUNCH,"4,827",520,"1,063","6,410"
SAN MATEO,2017,Jul 2016,1,NSLP,Sequoia Union High School District,41690624138053,Woodside High                                                   ,NSLP_LUNCH,"2,555",308,340,"3,203"
SAN MATEO,2016,Jul 2016,1,SSFO,South San Francisco Unified School District,41690706045082,LOS CERRITOS ELEMENTARY,SSFO_BREAKFAST_SEVERENEED,134,0,0,134
SAN MATEO,2016,Jul 2016,1,SSFO,South San Francisco Unified School District,41690706045082,LOS CERRITOS ELEMENTARY,SSFO_LUNCH,197,0,0,197
SAN MATEO,2016,Jul 2016,1,SSFO,South San Francisco Unified School District,41690706045090,MARTIN ELEMENTARY,SSFO_BREAKFAST_SEVERENEED,548,0,0,548
SAN MATEO,2016,Jul 2016,1,SSFO,South San Francisco Unified School District,41690706045090,MARTIN ELEMENTARY,SSFO_LUNCH,536,0,0,536
SAN MATEO,2016,Jul 2016,1,SSFO,South San Francisco Unified School District,41690706045140,SPRUCE ELEMENTARY,SSFO_BREAKFAST_SEVERENEED,632,0,0,632
SAN MATEO,2016,Jul 2016,1,SSFO,South San Francisco Unified School District,41690706045140,SPRUCE ELEMENTARY,SSFO_LUNCH,584,0,0,584
SAN MATEO,2017,Jul 2016,1,NSLP,Summit Public Schools,41690620119503,Everest Public High,NSLP_BREAKFAST_SEVERENEED,104,30,243,377
SAN MATEO,2017,Jul 2016,1,NSLP,Summit Public Schools,41690620119503,Everest Public High,NSLP_LUNCH,92,15,181,288
SAN MATEO,2017,Jul 2016,1,NSLP,Summit Public Schools,41690620112722,Summit Preparatory Charter High,NSLP_BREAKFAST_SEVERENEED,10,3,2,15
SAN MATEO,2017,Jul 2016,1,NSLP,Summit Public Schools,41690620112722,Summit Preparatory Charter High,NSLP_LUNCH,7,1,9,17
SAN MATEO,2017,Jul 2016,1,NSLP,Summit Public Schools,07100740129684,Summit Public School K2,NSLP_BREAKFAST_SEVERENEED,156,28,157,341
SAN MATEO,2017,Jul 2016,1,NSLP,Summit Public Schools,07100740129684,Summit Public School K2,NSLP_LUNCH,178,39,244,461
SAN MATEO,2017,Jul 2016,1,NSLP,Summit Public Schools,43104390128090,Summit Public School: Denali,NSLP_BREAKFAST_SEVERENEED,65,32,140,237
SAN MATEO,2017,Jul 2016,1,NSLP,Summit Public Schools,43104390128090,Summit Public School: Denali,NSLP_LUNCH,97,37,179,313
SAN MATEO,2017,Jul 2016,1,NSLP,Summit Public Schools,43694270123745,Summit Public School: Rainier,NSLP_BREAKFAST_SEVERENEED,14,10,15,39
SAN MATEO,2017,Jul 2016,1,NSLP,Summit Public Schools,43694270123745,Summit Public School: Rainier,NSLP_LUNCH,9,8,14,31
SAN MATEO,2017,Jul 2016,1,NSLP,Summit Public Schools,41689240127548,Summit Public School: Shasta,NSLP_BREAKFAST_SEVERENEED,46,35,202,283
SAN MATEO,2017,Jul 2016,1,NSLP,Summit Public Schools,41689240127548,Summit Public School: Shasta,NSLP_LUNCH,34,44,313,391
SAN MATEO,2017,Jul 2016,1,NSLP,Summit Public Schools,43104390123794,Summit Public School: Tahoma,NSLP_BREAKFAST_SEVERENEED,78,52,225,355
SAN MATEO,2017,Jul 2016,1,NSLP,Summit Public Schools,43104390123794,Summit Public School: Tahoma,NSLP_LUNCH,110,53,285,448
SANTA CLARA,2016,Jul 2016,1,SSFO,ACE Charter School,43104390116814,ACE Empower Academy                                             ,SSFO_BREAKFAST_SEVERENEED,144,0,0,144
SANTA CLARA,2016,Jul 2016,1,SSFO,ACE Charter School,43104390116814,ACE Empower Academy                                             ,SSFO_LUNCH,247,0,0,247
SANTA CLARA,2016,Jul 2016,1,SSFO,Alum Rock Union Elementary School District,43693696046148,Clyde L. Fischer Middle                                         ,SSFO_LUNCH,"1,377",0,0,"1,377"
SANTA CLARA,2016,Jul 2016,1,SSFO,Alum Rock Union Elementary School District,43693696068910,JOSEPH GEORGE MIDDLE,SSFO_LUNCH,"1,220",0,0,"1,220"
SANTA CLARA,2017,Jul 2016,1,NSLP,Alum Rock Union Elementary School District,43693696046221,LYNDALE ELEMENTARY,NSLP_BREAKFAST_SEVERENEED,666,122,190,978
SANTA CLARA,2016,Jul 2016,1,SSFO,Alum Rock Union Elementary School District,43693696046221,LYNDALE ELEMENTARY,SSFO_LUNCH,971,0,0,971
SANTA CLARA,2016,Jul 2016,1,SSFO,Alum Rock Union Elementary School District,43693696089270,OCALA MIDDLE,SSFO_LUNCH,"1,282",0,0,"1,282"
SANTA CLARA,2016,Jul 2016,1,SSFO,Alum Rock Union Elementary School District,43693690114900,Russo/McEntee Academy                                           ,SSFO_LUNCH,"1,711",0,0,"1,711"
SANTA CLARA,2016,Jul 2016,1,SSFO,Alum Rock Union Elementary School District,43693696046304,SAN ANTONIO ELEMENTARY,SSFO_LUNCH,"2,957",0,0,"2,957"
SANTA CLARA,2017,Jul 2016,1,NSLP,Cambrian School District,43693856046445,Fammatre Elementary                                             ,NSLP_BREAKFAST_SEVERENEED,276,92,60,428
SANTA CLARA,2017,Jul 2016,1,NSLP,Campbell Union High School District,43694014336137,Prospect High                                                   ,NSLP_BREAKFAST_SEVERENEED,72,10,1,83
SANTA CLARA,2017,Jul 2016,1,NSLP,Campbell Union High School District,43694014336137,Prospect High                                                   ,NSLP_LUNCH,161,28,4,193
SANTA CLARA,2017,Jul 2016,1,NSLP,Campbell Union School District,43693936046528,Campbell Middle                                                 ,NSLP_LUNCH,495,80,155,730
SANTA CLARA,2017,Jul 2016,1,NSLP,Campbell Union School District,43693936046601,LYNHAVEN ELEMENTARY,NSLP_BREAKFAST_SEVERENEED,588,113,177,878
SANTA CLARA,2017,Jul 2016,1,NSLP,Campbell Union School District,43693936046601,LYNHAVEN ELEMENTARY,NSLP_LUNCH,609,128,216,953
SANTA CLARA,2016,Jul 2016,1,SSFO,Campbell Union School District,43693936046601,LYNHAVEN ELEMENTARY,SSFO_BREAKFAST_SEVERENEED,"2,621",0,0,"2,621"
SANTA CLARA,2016,Jul 2016,1,SSFO,Campbell Union School District,43693936046601,LYNHAVEN ELEMENTARY,SSFO_LUNCH,"1,098",0,0,"1,098"
SANTA CLARA,2017,Jul 2016,1,NSLP,Campbell Union School District,43693936046676,ROSEMARY ELEMENTARY,NSLP_BREAKFAST_SEVERENEED,726,159,258,"1,143"
SANTA CLARA,2017,Jul 2016,1,NSLP,Campbell Union School District,43693936046676,ROSEMARY ELEMENTARY,NSLP_LUNCH,726,157,243,"1,126"
SANTA CLARA,2017,Jul 2016,1,NSLP,Campbell Union School District,43693936046692,SHERMAN OAKS ELEMENTARY,NSLP_LUNCH,322,75,70,467
SANTA CLARA,2016,Jul 2016,1,SSFO,Cristo Rey San Jose High School,,Cristo Rey San Jose Jesuit High School,SSFO_BREAKFAST_SEVERENEED,"1,991",0,0,"1,991"
SANTA CLARA,2016,Jul 2016,1,SSFO,Cristo Rey San Jose High School,,Cristo Rey San Jose Jesuit High School,SSFO_LUNCH,"2,831",0,0,"2,831"
SANTA CLARA,2017,Jul 2016,1,NSLP,Cupertino Union School District,43694196046742,Chester W. Nimitz Elementary                                    ,NSLP_LUNCH,289,12,305,606
SANTA CLARA,2017,Jul 2016,1,NSLP,Cupertino Union School District,43694196046908,John Muir Elementary                                            ,NSLP_LUNCH,23,9,71,103
SANTA CLARA,2017,Jul 2016,1,NSLP,Cupertino Union School District,43694196047047,R. I. Meyerholz Elementary                                      ,NSLP_LUNCH,15,,68,83
SANTA CLARA,2017,Jul 2016,1,NSLP,East Side Union High School District,43694274332995,Andrew P. Hill High                                             ,NSLP_BREAKFAST_SEVERENEED,84,17,39,140
SANTA CLARA,2017,Jul 2016,1,NSLP,East Side Union High School District,43694274332995,Andrew P. Hill High                                             ,NSLP_LUNCH,136,33,51,220
SANTA CLARA,2016,Jul 2016,1,SSFO,East Side Union High School District,43694274332995,Andrew P. Hill High                                             ,SSFO_LUNCH,"2,034",0,0,"2,034"
SANTA CLARA,2016,Jul 2016,1,SSFO,East Side Union High School District,43694270125427,Calero High,SSFO_LUNCH,"1,119",0,0,"1,119"
SANTA CLARA,2017,Jul 2016,1,NSLP,East Side Union High School District,43694274330692,Evergreen Valley High                                           ,NSLP_BREAKFAST_SEVERENEED,338,104,74,516
SANTA CLARA,2017,Jul 2016,1,NSLP,East Side Union High School District,43694274330692,Evergreen Valley High                                           ,NSLP_LUNCH,493,183,174,850
SANTA CLARA,2017,Jul 2016,1,NSLP,East Side Union High School District,43694274332318,Foothill High                                                   ,NSLP_LUNCH,58,30,8,96
SANTA CLARA,2016,Jul 2016,1,SSFO,East Side Union High School District,43694274332318,Foothill High                                                   ,SSFO_LUNCH,247,0,0,247
SANTA CLARA,2017,Jul 2016,1,NSLP,East Side Union High School District,43694274330031,Independence High                                               ,NSLP_LUNCH,18,5,7,30
SANTA CLARA,2016,Jul 2016,1,SSFO,East Side Union High School District,43694274330031,Independence High                                               ,SSFO_LUNCH,"3,141",0,0,"3,141"
SANTA CLARA,2017,Jul 2016,1,NSLP,East Side Union High School District,43694274333639,James Lick High                                                 ,NSLP_BREAKFAST_SEVERENEED,42,23,30,95
SANTA CLARA,2017,Jul 2016,1,NSLP,East Side Union High School District,43694274333639,James Lick High                                                 ,NSLP_LUNCH,99,24,33,156
SANTA CLARA,2016,Jul 2016,1,SSFO,East Side Union High School District,43694274333639,James Lick High                                                 ,SSFO_LUNCH,"3,513",0,0,"3,513"
SANTA CLARA,2016,Jul 2016,1,SSFO,East Side Union High School District,43694274334900,Mt. Pleasant High                                               ,SSFO_LUNCH,"1,700",0,0,"1,700"
SANTA CLARA,2016,Jul 2016,1,SSFO,East Side Union High School District,43694274335204,Oak Grove High                                                  ,SSFO_LUNCH,"1,607",0,0,"1,607"
SANTA CLARA,2017,Jul 2016,1,NSLP,East Side Union High School District,43694274335907,Piedmont Hills High                                             ,NSLP_LUNCH,236,41,53,330
SANTA CLARA,2017,Jul 2016,1,NSLP,East Side Union High School District,43694274330023,Santa Teresa High                                               ,NSLP_BREAKFAST_SEVERENEED,168,80,37,285
SANTA CLARA,2017,Jul 2016,1,NSLP,East Side Union High School District,43694274330023,Santa Teresa High                                               ,NSLP_LUNCH,320,119,159,598
SANTA CLARA,2017,Jul 2016,1,NSLP,East Side Union High School District,43694274337903,Silver Creek High                                               ,NSLP_LUNCH,9,5,16,30
SANTA CLARA,2016,Jul 2016,1,SSFO,East Side Union High School District,43694274337903,Silver Creek High                                               ,SSFO_LUNCH,"3,302",0,0,"3,302"
SANTA CLARA,2017,Jul 2016,1,NSLP,East Side Union High School District,43694274335428,William C. Overfelt High                                        ,NSLP_BREAKFAST_SEVERENEED,69,6,26,101
SANTA CLARA,2017,Jul 2016,1,NSLP,East Side Union High School District,43694274335428,William C. Overfelt High                                        ,NSLP_LUNCH,121,10,39,170
SANTA CLARA,2016,Jul 2016,1,SSFO,East Side Union High School District,43694274335428,William C. Overfelt High                                        ,SSFO_LUNCH,"7,013",0,0,"7,013"
SANTA CLARA,2016,Jul 2016,1,SSFO,East Side Union High School District,43694274330015,Yerba Buena High                                                ,SSFO_LUNCH,"5,353",0,0,"5,353"
SANTA CLARA,2017,Jul 2016,1,NSLP,"EE S Residential Group Home, Inc.",,EE'S - HILLSDALE,NSLP_BREAKFAST_SEVERENEED,93,0,0,93
SANTA CLARA,2017,Jul 2016,1,NSLP,"EE S Residential Group Home, Inc.",,EE'S - HILLSDALE,NSLP_LUNCH,92,0,0,92
SANTA CLARA,2017,Jul 2016,1,NSLP,"EE S Residential Group Home, Inc.",,EE'S - HILLSDALE II,NSLP_BREAKFAST_SEVERENEED,117,0,0,117
SANTA CLARA,2017,Jul 2016,1,NSLP,"EE S Residential Group Home, Inc.",,EE'S - HILLSDALE II,NSLP_LUNCH,93,0,0,93
SANTA CLARA,2017,Jul 2016,1,NSLP,"EE S Residential Group Home, Inc.",,EE'S - KOOSER,NSLP_BREAKFAST_SEVERENEED,93,0,0,93
SANTA CLARA,2017,Jul 2016,1,NSLP,"EE S Residential Group Home, Inc.",,EE'S - KOOSER,NSLP_LUNCH,81,0,0,81
SANTA CLARA,2017,Jul 2016,1,NSLP,Evergreen Elementary School District,43694356047120,CADWALLADER ELEMENTARY,NSLP_BREAKFAST_SEVERENEED,124,13,30,167
SANTA CLARA,2017,Jul 2016,1,NSLP,Evergreen Elementary School District,43694350102616,Carolyn A. Clark Elementary                                     ,NSLP_LUNCH,14,55,28,97
SANTA CLARA,2017,Jul 2016,1,NSLP,Evergreen Elementary School District,43694356085690,George V. LeyVa Intermediate                                    ,NSLP_LUNCH,219,68,81,368
SANTA CLARA,2017,Jul 2016,1,NSLP,Evergreen Elementary School District,43694356047153,Katherine R. Smith Elementary                                   ,NSLP_BREAKFAST_SEVERENEED,"1,604",359,436,"2,399"
SANTA CLARA,2017,Jul 2016,1,NSLP,Evergreen Elementary School District,43694356047153,Katherine R. Smith Elementary                                   ,NSLP_LUNCH,38,0,0,38
SANTA CLARA,2017,Jul 2016,1,NSLP,Evergreen Elementary School District,43694356071534,LAURELWOOD ELEMENTARY,NSLP_LUNCH,184,122,17,323
SANTA CLARA,2017,Jul 2016,1,NSLP,Evergreen Elementary School District,43694356102081,NORWOOD CREEK ELEMENTARY,NSLP_LUNCH,226,15,78,319
SANTA CLARA,2016,Jul 2016,1,SSFO,Franklin-McKinley Elementary School District,43694506047211,Captain Jason M. Dahl Elementary                                ,SSFO_BREAKFAST_SEVERENEED,214,0,0,214
SANTA CLARA,2016,Jul 2016,1,SSFO,Franklin-McKinley Elementary School District,43694506047211,Captain Jason M. Dahl Elementary                                ,SSFO_LUNCH,159,0,0,159
SANTA CLARA,2016,Jul 2016,1,SSFO,Franklin-McKinley Elementary School District,43694506047237,Los Arboles Literacy and Technology Academy                     ,SSFO_BREAKFAST_SEVERENEED,263,0,0,263
SANTA CLARA,2016,Jul 2016,1,SSFO,Franklin-McKinley Elementary School District,43694506047237,Los Arboles Literacy and Technology Academy                     ,SSFO_LUNCH,647,0,0,647
SANTA CLARA,2016,Jul 2016,1,SSFO,Franklin-McKinley Elementary School District,43694506047245,McKINLEY ELEMENTARY,SSFO_BREAKFAST_SEVERENEED,302,0,0,302
SANTA CLARA,2016,Jul 2016,1,SSFO,Franklin-McKinley Elementary School District,43694506047245,McKINLEY ELEMENTARY,SSFO_LUNCH,467,0,0,467
SANTA CLARA,2016,Jul 2016,1,SSFO,Franklin-McKinley Elementary School District,43694506047252,SANTEE ELEMENTARY,SSFO_BREAKFAST_SEVERENEED,452,0,0,452
SANTA CLARA,2016,Jul 2016,1,SSFO,Franklin-McKinley Elementary School District,43694506047252,SANTEE ELEMENTARY,SSFO_LUNCH,568,0,0,568
SANTA CLARA,2016,Jul 2016,1,SSFO,Franklin-McKinley Elementary School District,43694506115943,"Shirakawa (George, Sr.) Elementary                              ",SSFO_BREAKFAST_SEVERENEED,937,0,0,937
SANTA CLARA,2016,Jul 2016,1,SSFO,Franklin-McKinley Elementary School District,43694506115943,"Shirakawa (George, Sr.) Elementary                              ",SSFO_LUNCH,"1,389",0,0,"1,389"
SANTA CLARA,2016,Jul 2016,1,SSFO,Franklin-McKinley Elementary School District,43694506047278,Sylvandale Middle                                               ,SSFO_BREAKFAST_SEVERENEED,268,0,0,268
SANTA CLARA,2016,Jul 2016,1,SSFO,Franklin-McKinley Elementary School District,43694506047278,Sylvandale Middle                                               ,SSFO_LUNCH,720,0,0,720
SANTA CLARA,2017,Jul 2016,1,NSLP,Fremont Union High School District,43694684332474,FREMONT HIGH,NSLP_LUNCH,"1,381",168,292,"1,841"
SANTA CLARA,2016,Jul 2016,1,SSFO,GILROY UNIFIED SCHOOL DISTRICT,43694846116461,Antonio Del Buono Elementary                                    ,SSFO_BREAKFAST_SEVERENEED,"3,414",0,0,"3,414"
SANTA CLARA,2016,Jul 2016,1,SSFO,GILROY UNIFIED SCHOOL DISTRICT,43694846116461,Antonio Del Buono Elementary                                    ,SSFO_LUNCH,"3,945",0,0,"3,945"
SANTA CLARA,2016,Jul 2016,1,SSFO,GILROY UNIFIED SCHOOL DISTRICT,43694846047294,EL ROBLE ELEMENTARY,SSFO_BREAKFAST_SEVERENEED,"2,748",0,0,"2,748"
SANTA CLARA,2016,Jul 2016,1,SSFO,GILROY UNIFIED SCHOOL DISTRICT,43694846047294,EL ROBLE ELEMENTARY,SSFO_LUNCH,"4,142",0,0,"4,142"
SANTA CLARA,2016,Jul 2016,1,SSFO,GILROY UNIFIED SCHOOL DISTRICT,43694844332839,GILROY HIGH,SSFO_BREAKFAST_SEVERENEED,"1,714",0,0,"1,714"
SANTA CLARA,2016,Jul 2016,1,SSFO,GILROY UNIFIED SCHOOL DISTRICT,43694844332839,GILROY HIGH,SSFO_LUNCH,"5,004",0,0,"5,004"
SANTA CLARA,2016,Jul 2016,1,SSFO,GILROY UNIFIED SCHOOL DISTRICT,43694846098214,South Valley Middle                                             ,SSFO_BREAKFAST_SEVERENEED,"1,740",0,0,"1,740"
SANTA CLARA,2016,Jul 2016,1,SSFO,GILROY UNIFIED SCHOOL DISTRICT,43694846098214,South Valley Middle                                             ,SSFO_LUNCH,"3,315",0,0,"3,315"
SANTA CLARA,2017,Jul 2016,1,NSLP,JT Residential Care Facilities,,KENNEDY GROUP HOME,NSLP_BREAKFAST_SEVERENEED,164,0,0,164
SANTA CLARA,2017,Jul 2016,1,NSLP,JT Residential Care Facilities,,KENNEDY GROUP HOME,NSLP_LUNCH,164,0,0,164
SANTA CLARA,2017,Jul 2016,1,NSLP,JT Residential Care Facilities,,TAYLER GROUP HOME,NSLP_BREAKFAST_SEVERENEED,142,0,0,142
SANTA CLARA,2017,Jul 2016,1,NSLP,JT Residential Care Facilities,,TAYLER GROUP HOME,NSLP_LUNCH,142,0,0,142
SANTA CLARA,2016,Jul 2016,1,SSFO,Latino College Prep Academy,43694274330668,LATINO COLLEGE PREPARATORY ACADEMY,SSFO_BREAKFAST_SEVERENEED,185,0,0,185
SANTA CLARA,2016,Jul 2016,1,SSFO,Latino College Prep Academy,43694274330668,LATINO COLLEGE PREPARATORY ACADEMY,SSFO_LUNCH,"1,425",0,0,"1,425"
SANTA CLARA,2016,Jul 2016,1,SSFO,LUTHER BURBANK SCHOOL DISTRICT,43695426047575,Luther Burbank Elementary                                       ,SSFO_BREAKFAST_SEVERENEED,"1,359",0,0,"1,359"
SANTA CLARA,2016,Jul 2016,1,SSFO,LUTHER BURBANK SCHOOL DISTRICT,43695426047575,Luther Burbank Elementary                                       ,SSFO_LUNCH,"1,352",0,0,"1,352"
